Batch number,Level1    ,Temp1     ,Temp2     ,Time4     ,Time1     ,Time2     ,Time3     ,TempSlope
Batch 1,55.6,25.98,83.316,49,87,46,41,1.246434783
Batch 2,64.519,41.631,86.213,22,65,22,43,2.026454545
Batch 3,74.137,37.987,85.796,26,73,26,47,1.838807692
Batch 4,84.225,46.014,84.669,24,85,22,63,1.757045455
Batch 5,80.483,34.666,84.651,33,68,34,34,1.470147059
Batch 6,83.764,43.617,86.013,23,84,23,61,1.843304348
Batch 7,75.725,35.206,85.18,28,73,26,47,1.922076923
Batch 8,57.129,24.566,83.765,36,73,33,40,1.793909091
Batch 9,42.592,28.636,84.345,34,65,31,34,1.797064516
Batch 10,30.634,25.545,81.776,44,73,43,30,1.307697674
Batch 11,45.742,27.273,83.083,38,68,35,33,1.594571429
Batch 12,35.989,24.929,82.327,36,69,32,37,1.7936875
Batch 13,43.221,24.463,83.316,38,90,34,56,1.730970588
Batch 14,41.079,23.972,82.633,33,64,28,36,2.095035714
Batch 15,45.925,24.281,82.839,28,71,29,42,2.019241379
Batch 16,41.66,23.7,82.374,29,73,30,43,1.9558
Batch 17,48.1,29.581,81.977,28,76,29,47,1.806758621
Batch 18,45.211,24.414,82.752,28,73,29,44,2.011655172
Batch 19,38.444,25.023,81.938,25,59,26,33,2.189038462
Batch 20,71.381,34.766,81.494,72,108,72,36,0.649
Batch 21,43.901,22.346,82.641,28,65,29,36,2.079137931
Batch 22,39.317,23.31,82.986,29,69,30,39,1.9892
Batch 23,29.834,24.086,83.161,32,105,33,72,1.790151515
Batch 24,54.637,25.229,84.171,27,64,28,36,2.105071429
Batch 25,50.98,25.427,86.241,31,65,29,36,2.097034483
Batch 26,58.819,27.219,83.754,23,63,24,39,2.355625
Batch 27,50.593,25.963,84.226,23,64,24,40,2.427625
Batch 28,45.831,27.417,84.645,23,60,24,36,2.3845
Batch 29,45.908,27.807,85.434,29,68,31,37,1.858935484
Batch 30,43.264,26.568,84.724,28,68,30,38,1.938533333
Batch 31,57.066,24.16,85.494,24,67,26,41,2.359
Batch 32,61.822,24.886,86.007,22,76,24,52,2.546708333
Batch 33,58.769,24.891,85.525,23,66,24,42,2.526416667
Batch 34,55.836,79.941,82.891,9,45,10,35,0.295
Batch 35,60.701,40.37,84.895,31,77,28,49,1.590178571
Batch 36,51.759,32.172,84.517,36,72,34,38,1.539558824
Batch 37,53.166,34.276,84.078,40,75,38,37,1.310578947
Batch 38,70.048,36.651,84.436,17,77,40,37,1.194625
Batch 39,61.816,35.936,85.27,33,67,31,36,1.591419355
Batch 40,68.211,30.413,84.292,10,74,34,40,1.584676471
Batch 41,66.431,34.712,84.337,37,70,34,36,1.459558824
Batch 42,75.638,34.84,84.921,36,71,33,38,1.517606061
Batch 43,76.889,35.567,85.111,35,68,34,34,1.457176471
Batch 44,64.816,40.062,85.485,29,69,27,42,1.682333333
Batch 45,71.163,22.371,82.848,40,93,59,34,1.025033898
Batch 46,30.594,24.639,84.99,54,92,52,40,1.160596154
Batch 47,45.411,20.123,84.394,39,78,36,42,1.785305556
Batch 48,17.341,15.701,83.647,39,93,62,31,1.095903226
Batch 49,59.794,32.629,86.572,30,58,29,29,1.860103448
Batch 50,66.019,32.209,84.045,32,63,29,34,1.787448276
Batch 51,54.08,25.862,81.901,37,67,38,29,1.474710526
Batch 52,64.234,34.243,86.005,26,70,23,47,2.250521739
Batch 53,64.556,21.627,85.886,59,89,57,32,1.127350877
Batch 54,57.069,26.055,86.647,38,73,35,38,1.7312
Batch 55,110.148,37.455,86.163,32,58,29,29,1.679586207
Batch 56,56.764,20.806,82.375,82,108,83,25,0.741795181
Batch 57,58.01329517,24.29309464,83.99598694,50,82,51,31,1.170644947
Batch 58,60.143,21.993,83.918,55,90,56,34,1.105803571
Batch 59,55.194,22.616,83.326,21,86,54,32,1.124259259
Batch 60,115.264,38.262,82.553,22,53,23,30,1.925695652
Batch 61,51.336,20.976,82.136,42,72,43,29,1.422325581
Batch 62,89.74,36.84,85.312,32,74,29,45,1.671448276
Batch 63,65.991,34.378,85.589,34,68,31,37,1.651967742
Batch 64,58.521,33.186,84.862,37,72,34,38,1.519882353
Batch 65,53.176,24.876,83.989,24,60,25,35,2.36452
Batch 66,50.474,28.474,83.977,27,63,28,35,1.98225
Batch 67,62.438,28.165,84.079,41,78,42,36,1.331285714
Batch 68,53.991,25.244,84.197,25,96,26,70,2.267423077
Batch 69,51.789,25.168,84.273,25,63,25,38,2.3642
Batch 70,49.077,24.996,84.953,25,73,26,47,2.306038462
Batch 71,51.892,26.317,86.278,34,67,31,36,1.934225806
