Batch number,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Cake weight
Batch 1,,,,,,,,,,,,7199.302734
Batch 2,0.41,14.48,2.44,1.84,1.33,0.74,0.11,0.46,3.62,3.09,84.2,6947.359375
Batch 3,0.42,15.54,2.46,1.79,1.26,0.76,0,0.49,3.5,2.98,85.08,6799.940918
Batch 4,0.33,13.58,2.61,1.92,1.47,1.19,0.14,1.13,4.25,2.65,84.06,7412.616699
Batch 5,0.32,14.34,2.43,2.1,1.34,0.96,0,1.11,2.45,2.51,84.79,7564.439941
Batch 6,0.38,12.85,2.78,2.04,1.58,1.12,0.11,0.8,3.05,3.4,83.08,7351.97168
Batch 7,0.32,14.44,2.76,1.97,1.45,0.87,0.14,1.52,4.08,2.42,85.34,7203.344238
Batch 8,0.28,14.51,2.65,1.8,1.23,0.57,0.1,1.51,3.99,2.47,86.26,7391.111328
Batch 9,0.38,14.92,2.76,1.8,1.33,0.57,0,0.78,5.05,2.52,84.83,6381.702148
Batch 10,0.34,13.24,2.62,1.85,1.3,0.55,0.2,0.79,5.75,2.68,85.76,4918.184082
Batch 11,0.42,13.44,2.7,2.43,1.38,0.61,0.18,0.91,4.86,0.19,83.77,6082.005371
Batch 12,0.42,12.92,1.9,0.79,0.97,0.43,0.13,0.53,3.82,2.8,89.78,5374.189453
Batch 13,0.47,14.23,2.7,1.88,1.46,0.84,0.15,1.21,2.98,3.08,84.34,6303.072266
Batch 14,0.44,14.58,2.56,0.44,1.44,0.79,0,0.72,2.59,0,86.92,6052.944397
Batch 15,,,,,,,,,,,,6508.493164
Batch 16,,,,,,,,,,,,6359.796387
Batch 17,,,,,,,,,,,,6780.600586
Batch 18,,,,,,,,,,,,6386.628906
Batch 19,,,,,,,,,,,,6122.799805
Batch 20,0.61,16.37,2.95,1.22,1.47,0.85,0,0.96,5.58,5.13,81.59,6662.859863
Batch 21,0.48,14.74,2.61,2.22,1.74,0.82,0,1.11,2.33,3.22,83.84,7174.481445
Batch 22,0.48,13.55,2.5,1.82,1.63,0.69,0,1.17,4.26,3.59,84.78,6680.540039
Batch 23,0.69,12.63,2.71,1.53,1.63,0.68,0,1.4,5.15,5.45,81.46,6045.943359
Batch 24,0.41,12.23,2.39,1.63,1.33,0.7,0.17,1.35,3.7,2.91,85.92,7465.318848
Batch 25,0.46,15.04,2.71,1.61,1.45,0.8,0,1.5,2.4,3.54,84.36,7061.583
Batch 26,1.03,14.13,3.26,1.2,1.37,0.45,0.07,1.87,3.21,5.86,82.4,7061.5977
Batch 27,0.54,9.71,3.8,2.04,1.65,0.63,0,1.62,5.77,4.68,80.27,6928.2388
Batch 28,0.46,14.82,3,2.24,1.34,0.47,0,1.45,5.52,3.01,84.14,7098.2017
Batch 29,0.59,12.81,3.75,1.98,0.58,1.64,0.23,1.07,2.74,4.86,79.94,6693.1138
Batch 30,0.57,13.45,3.21,1.52,1.3,0.4,0,2.33,3.04,4.23,83.81,6601.8994
Batch 31,0.61,15.14,2.64,1.1,1.34,0.78,0.15,1.23,3,4.09,84.05,7091.5498
Batch 32,0.54,11.2,3.4,2.08,1.81,1.19,0.23,0.74,3,4.89,79.68,7317.5654
Batch 33,,,,,,,,,,,,7126.2124
Batch 34,,14.74,,,,,,,,,84.88,6416.22168
Batch 35,,16.4,,,,,,,,,87.89,6892.960449
Batch 36,,14.69,,,,,,,,,84.92,6288.522461
Batch 37,,14.29,,,,,,,,,84.15,6686.623535
Batch 38,,13.73,,,,,,,,,85.33,7040.378418
Batch 39,,,,,,,,,,,,6838.69043
Batch 40,,,,,,,,,,,,6917.161621
Batch 41,0.5,15.4,2.95,1.97,1.72,0.98,0,1.57,3.52,3.48,83.75,6600.997559
Batch 42,0.48,15.14,2.97,2.75,1.6,0.92,0,1.56,3.3,3.12,83.51,6884.169922
Batch 43,0.32,13.87,2.94,1.65,1.62,1.08,0,0,2.88,3.33,82.84,6638.463867
Batch 44,0.14,10.25,2.59,1.66,1.44,1.06,0,0.51,1.35,2.72,85.99,6044.931641
Batch 45,0.37,14.78,2.66,1.87,1.27,0.67,0.1,1.37,4.48,0,85.91,7544.92627
Batch 46,0.36,14.49,2.74,1.59,1.18,0.56,0,1.45,3.71,3.14,86.2,6110.726563
Batch 47,0.43,17.73,2.87,2.03,1.22,0.67,0.07,0.96,2.03,2.64,86.05,7207.666016
Batch 48,1.16,12.52,2.92,1.76,1.17,0.56,0,0.66,3.16,8.65,80.14,4283.952148
Batch 49,0.38,11.2,3.59,1.31,1.54,0.56,0,2.16,4.62,3.82,81.8,7143.723145
Batch 50,0.42,14.84,2.56,0.05,1.48,0.86,0,,4.8,2.99,84.28,7159.395508
Batch 51,0.89,14.25,2.93,0,1.48,0.87,0,0.96,4.51,6.36,81.14,7013.567871
Batch 52,0.47,8.07,4.68,3.03,2.17,0.98,0.17,2.42,2.77,4.65,75.04,7000.616699
Batch 53,0.82,14.37,2.98,1.57,1.27,0.48,0.11,1.04,3.91,5.74,82.72,7335.166016
Batch 54,0.39,13.49,3.1,2.78,1.79,0.69,0.16,1.96,2.77,2.86,82.52,7088.043945
Batch 55,0.56,13.23,2.29,2.05,1.04,0.45,0,1.34,4.76,3.23,86.99,7231.484863
Batch 56,0.57,13.21,3.35,2.39,1.49,0.63,0,1.5,2.81,4.76,81.35,7308.873535
Batch 57,0.56,14.84,3.17,1.44,1.27,0.42,0,1.32,4.52,3.17,84.76,7498.980957
Batch 58,0.54,9.84,3.62,1.76,2.04,0.48,0,1.58,4.43,4.66,80.06,7486.829102
Batch 59,0.66,11.93,3.85,2.69,2.09,0.63,0,1.4,3.41,5.21,79.34,7074.257324
Batch 60,0.46,13.74,2.87,1.55,1.52,0.39,0,1.28,4.95,3.71,83.93,7520.318848
Batch 61,0.6,14.24,3.11,2.37,1.49,0.47,0,1.18,4.61,3.94,83.47,7335.865234
Batch 62,,,,,,,,,,,,7399.372559
Batch 63,,,,,,,,,,,,7105.499023
Batch 64,,,,,,,,,,,,6650.298828
Batch 65,0.56,15.76,2.91,1.97,1.64,0.82,0.16,1.25,4.7,4.07,82.68,7300.158203
Batch 66,0.54,15.42,2.62,1.84,1.45,0.79,0.09,1.16,4.93,3.76,84.19,7169.396484
Batch 67,0.35,15.36,2.6,1.89,1.47,0.82,0.1,1.46,3.46,2.7,85.34,7298.687012
Batch 68,0.44,13.3,4.17,2.94,2.27,1.28,0,1.7,4.31,5.13,75.39,7253.128906
Batch 69,0.4,10.98,3.23,2,1.73,0.98,0.12,1.74,2.57,3.79,81.46,7236.766602
Batch 70,0.45,14.7,2.69,1.98,1.42,0.78,0,1.55,3.27,3.25,85.51,7093.425293
Batch 71,0.48,16.27,3,2.23,1.34,0.79,0,1.65,4.95,3.3,84.48,6909.306641
